Date,Country,Status,AQI_Value
2022-08-01,Bahrain,Unhealthy,151
2022-08-01,China,Unhealthy,156
2022-08-01,Ethiopia,Unhealthy for Sensitive Groups,143
2022-08-01,India,Unhealthy,159
2022-08-01,Iran,Unhealthy for Sensitive Groups,126
2022-08-01,Iraq,Unhealthy,161
2022-08-01,Kuwait,Unhealthy for Sensitive Groups,145
2022-08-01,Qatar,Unhealthy,183
2022-08-01,United Arab Emirates,Unhealthy for Sensitive Groups,118
2022-08-01,Zambia,Unhealthy for Sensitive Groups,102
2022-08-02,Bahrain,Unhealthy for Sensitive Groups,142
2022-08-02,China,Unhealthy,161
2022-08-02,Ethiopia,Unhealthy for Sensitive Groups,117
2022-08-02,India,Very Unhealthy,287
2022-08-02,Iran,Very Unhealthy,210
2022-08-02,Iraq,Unhealthy,181
2022-08-02,Kuwait,Unhealthy for Sensitive Groups,123
2022-08-02,Qatar,Unhealthy,183
2022-08-02,United Arab Emirates,Unhealthy for Sensitive Groups,127
2022-08-02,Zambia,Good,25
2022-08-03,Bahrain,Unhealthy for Sensitive Groups,134
2022-08-03,China,Unhealthy,155
2022-08-03,Ethiopia,Unhealthy for Sensitive Groups,116
2022-08-03,India,Very Unhealthy,213
2022-08-03,Iran,Unhealthy for Sensitive Groups,138
2022-08-03,Iraq,Unhealthy,178
2022-08-03,Kuwait,Unhealthy for Sensitive Groups,106
2022-08-03,Qatar,Unhealthy,183
2022-08-03,United Arab Emirates,Unhealthy for Sensitive Groups,107
2022-08-03,Zambia,Good,34
2022-08-04,Bahrain,Unhealthy for Sensitive Groups,142
2022-08-04,China,Unhealthy for Sensitive Groups,145
2022-08-04,Ethiopia,Unhealthy,159
2022-08-04,India,Unhealthy,180
2022-08-04,Iran,Unhealthy for Sensitive Groups,136
2022-08-04,Iraq,Unhealthy,180
2022-08-04,Kuwait,Unhealthy,151
2022-08-04,Qatar,Unhealthy,183
2022-08-04,United Arab Emirates,Unhealthy for Sensitive Groups,133
2022-08-04,Zambia,Unhealthy,160
2022-08-05,Bahrain,Unhealthy,163
2022-08-05,China,Unhealthy,164
2022-08-05,Ethiopia,Unhealthy,160
2022-08-05,India,Unhealthy,198
2022-08-05,Iran,Unhealthy for Sensitive Groups,136
2022-08-05,Iraq,Very Unhealthy,210
2022-08-05,Kuwait,Unhealthy for Sensitive Groups,129
2022-08-05,Qatar,Unhealthy,183
2022-08-05,United Arab Emirates,Unhealthy for Sensitive Groups,135
2022-08-05,Zambia,Unhealthy,154
2022-08-06,Bahrain,Unhealthy,164
2022-08-06,China,Unhealthy for Sensitive Groups,135
2022-08-06,Ethiopia,Moderate,95
2022-08-06,India,Very Unhealthy,216
2022-08-06,Iran,Unhealthy for Sensitive Groups,137
2022-08-06,Iraq,Unhealthy,178
2022-08-06,Kuwait,Unhealthy for Sensitive Groups,140
2022-08-06,Qatar,Unhealthy,183
2022-08-06,United Arab Emirates,Unhealthy for Sensitive Groups,146
2022-08-06,Zambia,Very Unhealthy,284
2022-08-07,Bahrain,Unhealthy,168
2022-08-07,China,Unhealthy,154
2022-08-07,Ethiopia,Unhealthy for Sensitive Groups,104
2022-08-07,India,Unhealthy,159
2022-08-07,Iran,Unhealthy for Sensitive Groups,143
2022-08-07,Iraq,Unhealthy,163
2022-08-07,Kuwait,Unhealthy for Sensitive Groups,147
2022-08-07,Qatar,Unhealthy,183
2022-08-07,United Arab Emirates,Unhealthy for Sensitive Groups,132
2022-08-07,Zambia,Unhealthy for Sensitive Groups,108
2022-08-08,Bahrain,Unhealthy,156
2022-08-08,China,Unhealthy for Sensitive Groups,119
2022-08-08,Ethiopia,Unhealthy for Sensitive Groups,104
2022-08-08,India,Hazardous,380
2022-08-08,Iran,Unhealthy for Sensitive Groups,129
2022-08-08,Iraq,Unhealthy,160
2022-08-08,Kuwait,Unhealthy,160
2022-08-08,Qatar,Unhealthy,183
2022-08-08,United Arab Emirates,Unhealthy for Sensitive Groups,120
2022-08-08,Zambia,Unhealthy,166
2022-08-09,Bahrain,Unhealthy,157
2022-08-09,China,Unhealthy for Sensitive Groups,114
2022-08-09,Ethiopia,Unhealthy for Sensitive Groups,108
2022-08-09,India,Unhealthy,156
2022-08-09,Iran,Unhealthy,153
2022-08-09,Iraq,Unhealthy,152
2022-08-09,Kuwait,Very Unhealthy,273
2022-08-09,Qatar,Unhealthy,183
2022-08-09,United Arab Emirates,Moderate,99
2022-08-09,Zambia,Unhealthy,169
2022-08-10,Bahrain,Unhealthy for Sensitive Groups,132
2022-08-10,China,Unhealthy,155
2022-08-10,Ethiopia,Unhealthy,156
2022-08-10,India,Unhealthy for Sensitive Groups,150
2022-08-10,Iran,Very Unhealthy,255
2022-08-10,Iraq,Very Unhealthy,226
2022-08-10,Kuwait,Hazardous,407
2022-08-10,Qatar,Unhealthy,183
2022-08-10,United Arab Emirates,Moderate,100
2022-08-10,Zambia,Unhealthy,157
2022-08-11,Bahrain,Unhealthy,200
2022-08-11,China,Unhealthy,167
2022-08-11,Ethiopia,Moderate,70
2022-08-11,India,Unhealthy for Sensitive Groups,124
2022-08-11,Iran,Hazardous,308
2022-08-11,Iraq,Unhealthy for Sensitive Groups,137
2022-08-11,Kuwait,Hazardous,340
2022-08-11,Qatar,Unhealthy,183
2022-08-11,United Arab Emirates,Unhealthy for Sensitive Groups,136
2022-08-11,Zambia,Unhealthy,152
2022-08-12,Bahrain,Unhealthy,160
2022-08-12,China,Unhealthy,154
2022-08-12,Ethiopia,Unhealthy,160
2022-08-12,India,Unhealthy,161
2022-08-12,Iran,Very Unhealthy,240
2022-08-12,Iraq,Unhealthy for Sensitive Groups,147
2022-08-12,Kuwait,Unhealthy,174
2022-08-12,Qatar,Unhealthy,183
2022-08-12,United Arab Emirates,Unhealthy,176
2022-08-12,Zambia,Unhealthy for Sensitive Groups,139
2022-08-13,Bahrain,Unhealthy,169
2022-08-13,China,Unhealthy,158
