Date,Country,Status,AQI_Value
2022-08-01,Bermuda,Good,19
2022-08-01,Brunei,Good,14
2022-08-01,Cambodia,Good,15
2022-08-01,Cayman Islands,Good,13
2022-08-01,French Guiana,Good,12
2022-08-01,Grenada,Moderate,76
2022-08-01,Guam,Good,6
2022-08-01,Honduras,Good,6
2022-08-01,Puerto Rico,Good,25
2022-08-01,Venezuela,Good,3
2022-08-02,Bermuda,Good,10
2022-08-02,Brunei,Good,11
2022-08-02,Cambodia,Good,15
2022-08-02,Cayman Islands,Moderate,51
2022-08-02,French Guiana,Good,11
2022-08-02,Grenada,Good,23
2022-08-02,Guam,Good,1
2022-08-02,Honduras,Good,30
2022-08-02,Puerto Rico,Good,21
2022-08-02,Venezuela,Good,20
2022-08-03,Bermuda,Good,15
2022-08-03,Brunei,Good,10
2022-08-03,Cambodia,Good,15
2022-08-03,Cayman Islands,Good,23
2022-08-03,French Guiana,Good,14
2022-08-03,Grenada,Good,7
2022-08-03,Guam,Good,2
2022-08-03,Honduras,Good,26
2022-08-03,Puerto Rico,Good,13
2022-08-03,Venezuela,Good,3
2022-08-04,Bermuda,Good,36
2022-08-04,Brunei,Good,10
2022-08-04,Cambodia,Good,15
2022-08-04,Cayman Islands,Good,5
2022-08-04,French Guiana,Good,14
2022-08-04,Grenada,Good,22
2022-08-04,Guam,Good,1
2022-08-04,Honduras,Good,46
2022-08-04,Puerto Rico,Good,15
2022-08-04,Venezuela,Good,10
2022-08-05,Bermuda,Good,8
2022-08-05,Brunei,Good,10
2022-08-05,Cambodia,Good,15
2022-08-05,Cayman Islands,Good,5
2022-08-05,French Guiana,Good,15
2022-08-05,Grenada,Good,5
2022-08-05,Guam,Good,2
2022-08-05,Honduras,Good,22
2022-08-05,Puerto Rico,Good,8
2022-08-05,Venezuela,Good,1
2022-08-06,Bermuda,Good,15
2022-08-06,Brunei,Good,10
2022-08-06,Cambodia,Good,15
2022-08-06,Cayman Islands,Good,15
2022-08-06,French Guiana,Good,14
2022-08-06,Grenada,Good,4
2022-08-06,Guam,Good,2
2022-08-06,Honduras,Good,15
2022-08-06,Puerto Rico,Good,10
2022-08-06,Venezuela,Good,4
2022-08-07,Bermuda,Good,5
2022-08-07,Brunei,Good,15
2022-08-07,Cambodia,Good,15
2022-08-07,Cayman Islands,Good,1
2022-08-07,French Guiana,Good,14
2022-08-07,Grenada,Good,1
2022-08-07,Guam,Good,2
2022-08-07,Honduras,Good,5
2022-08-07,Puerto Rico,Good,12
2022-08-07,Venezuela,Good,19
2022-08-08,Bermuda,Good,14
2022-08-08,Brunei,Good,11
2022-08-08,Cambodia,Good,15
2022-08-08,Cayman Islands,Good,20
2022-08-08,French Guiana,Good,15
2022-08-08,Grenada,Good,8
2022-08-08,Guam,Good,4
2022-08-08,Honduras,Good,33
2022-08-08,Puerto Rico,Good,14
2022-08-08,Venezuela,Good,9
2022-08-09,Bermuda,Good,10
2022-08-09,Brunei,Good,13
2022-08-09,Cambodia,Good,15
2022-08-09,Cayman Islands,Good,22
2022-08-09,French Guiana,Good,16
2022-08-09,Grenada,Good,5
2022-08-09,Guam,Good,1
2022-08-09,Honduras,Good,10
2022-08-09,Puerto Rico,Good,11
2022-08-09,Venezuela,Good,7
2022-08-10,Bermuda,Good,15
2022-08-10,Brunei,Good,14
2022-08-10,Cambodia,Good,15
2022-08-10,Cayman Islands,Good,18
2022-08-10,French Guiana,Good,16
2022-08-10,Grenada,Good,5
2022-08-10,Guam,Good,1
2022-08-10,Honduras,Good,2
2022-08-10,Puerto Rico,Good,10
2022-08-10,Venezuela,Good,14
2022-08-11,Bermuda,Good,11
2022-08-11,Brunei,Good,12
2022-08-11,Cambodia,Good,15
2022-08-11,Cayman Islands,Good,6
2022-08-11,French Guiana,Good,13
2022-08-11,Grenada,Good,16
2022-08-11,Guam,Good,1
2022-08-11,Honduras,Good,22
2022-08-11,Puerto Rico,Good,8
2022-08-11,Venezuela,Good,5
2022-08-12,Bermuda,Good,10
2022-08-12,Brunei,Good,16
2022-08-12,Cambodia,Good,15
2022-08-12,Cayman Islands,Good,4
2022-08-12,French Guiana,Good,13
2022-08-12,Grenada,Good,10
2022-08-12,Guam,Good,1
2022-08-12,Honduras,Good,13
2022-08-12,Puerto Rico,Good,12
2022-08-12,Venezuela,Good,1
2022-08-13,Bermuda,Good,3
2022-08-13,Brunei,Good,10
2022-08-13,Cambodia,Good,15
2022-08-13,Cayman Islands,Good,3
2022-08-13,French Guiana,Good,17
2022-08-13,Grenada,Good,24
2022-08-13,Guam,Good,1
2022-08-13,Honduras,Good,22
2022-08-13,Puerto Rico,Good,4
2022-08-13,Venezuela,Good,4
2022-08-14,Bermuda,Good,4
