Country,Total_AQI,Latitude,Longitude,Average_AQI_Daily
Albania,982,41.153332,20.168331,32.73333333
Algeria,2080,28.033886,1.659626,69.33333333
Andorra,1088,42.546245,1.601554,36.26666667
Angola,3567,-11.202692,17.873887,118.9
Argentina,1131,-38.416097,-63.616672,37.7
Armenia,1790,40.069099,45.038189,59.66666667
Australia,1613,-25.274398,133.775136,53.76666667
Austria,922,47.516231,14.550072,30.73333333
Azerbaijan,1069,40.143105,47.576927,35.63333333
Bahrain,4990,25.930414,50.637772,166.3333333
Bangladesh,4512,"	23.684994",90.356331,150.4
Belarus,1353,"	53.709807	",27.953389,45.1
Belgium,1220,50.503887,4.469936,40.66666667
Belize,518,"	17.189877",-88.49765,17.26666667
Bermuda,332,"	32.321384",-64.75737,11.06666667
Bolivia,1677,"	-16.290154",-63.588653,55.9
Bosnia and Herzegovina,1995,43.915886,17.679076,66.5
Brazil,2422,"-14.235004	",-51.92528,80.73333333
Brunei,362,4.535277,"114.727669	",12.06666667
Bulgaria,1110,42.733883,25.48583,37
Burkina Faso,2392,12.238333,-1.561593,79.73333333
Cambodia,480,12.565679,104.990963,16
Canada,1984,56.130366,"-106.346771	",66.13333333
Cape Verde,1211,"	16.002082",-24.013197,40.36666667
Cayman Islands,242,"	19.513469",-80.566956,8.066666667
Central African Republic,4035,6.611111,20.939444,134.5
Chad,2339,15.454166,"18.732207	",77.96666667
Chile,3367,-35.675147,-71.542969,112.2333333
China,4719,"	35.86166",104.195397,157.3
Colombia,2159,"	4.570868",-74.297333,71.96666667
Costa Rica,938,"	9.748917",-83.753428,31.26666667
Croatia,974,"	45.1",15.2,32.46666667
Cyprus,1895,35.126413,33.429859,63.16666667
Czech Republic,1992,"	49.817492",15.472962,66.4
Denmark,703,"	56.26392",9.501785,23.43333333
Dominican Republic,685,"18.735693	","	-70.162651",22.83333333
Ecuador,2227,"	-1.831239",-78.183406,74.23333333
Egypt,2752,"	26.820553",30.802498,91.73333333
El Salvador,2376,13.794185,"	-88.89653",79.2
Estonia,894,58.595272,25.013607,29.8
Ethiopia,4990,"	9.145",40.489673,166.3333333
Finland,1091,"	61.92411","	25.748151",36.36666667
France,2119,"	46.227638",2.213749,70.63333333
French Guiana,532,"	3.933889",-53.125782,17.73333333
Gabon,4601,"	-0.803689","	11.609444",153.3666667
Gambia,791,"	13.443182","	-15.310139",26.36666667
Georgia,2082,"	42.315407",43.356892,69.4
Germany,2055,"	51.165691",10.451526,68.5
Ghana,2604,7.946527,-1.023194,86.8
Gibraltar,1039,"	36.137741","	-5.345374",34.63333333
Greece,1491,"	39.074208","	21.824312",49.7
Grenada,379,12.262776,"	-61.604171",12.63333333
Guadeloupe,759,16.995971,-62.067641,25.3
Guam,86,13.444304,144.793731,2.866666667
Guatemala,1289,"	15.783471",-90.230759,42.96666667
Honduras,521,15.199999,"	-86.241905",17.36666667
Hong Kong,1121,22.396428,"	114.109497",37.36666667
Hungary,1599,"	47.162494	","	19.503304",53.3
Iceland,634,64.963051,-19.020835,21.13333333
India,5973,"20.593684	","	78.96288",199.1
Indonesia,2976,-0.789275,"	113.921327",99.2
Iran,5174,"	32.427908","	53.688046",172.4666667
Iraq,6729,"	33.223191",43.679291,224.3
Ireland,839,"	53.41291","	-8.24389",27.96666667
Israel,2481,"	31.046051","	34.851612",82.7
Italy,2152,41.87194,12.56738,71.73333333
Ivory Coast,1800,36.204824,"	138.252924",60
Japan,2292,49.214439,"	-2.13125",76.4
Jersey,716,"	30.585164",36.238414,23.86666667
Jordan,1055,48.019573,"	66.923684",35.16666667
Kazakhstan,2856,-0.023559,"	37.906193",95.2
Kenya,2488,"	42.602636",20.902977,82.93333333
Kosovo,1272,"	29.31166","	47.481766",42.4
Kuwait,5232,"	41.20438","74.766098	",174.4
Kyrgyzstan,2174,19.85627,"	102.495496",72.46666667
Laos,1164,56.879635,24.603189,38.8
Latvia,1010,33.854721,35.862285,33.66666667
Lebanon,2432,"	6.428055",-9.429499,81.06666667
Liberia,973,"	47.166","	9.555373",32.43333333
Liechtenstein,1071,55.169438,23.881275,35.7
Lithuania,1232,"	49.815273",6.129583,41.06666667
Luxembourg,1257,22.198745,113.543873,41.9
Macao,1222,"	41.608635","	21.745275",40.73333333
Macedonia,1552,"	-18.766947",46.869107,51.73333333
Madagascar,1774,"	4.210484",101.975766,59.13333333
Malaysia,2029,"	35.937496",14.375416,67.63333333
Malta,1286,"	14.641528","	-61.024174",42.86666667
Martinique,1172,"	23.634501",-102.552784,39.06666667
Mexico,2842,"	47.411631",28.369885,94.73333333
Moldova,719,"	43.750298","	7.412841",23.96666667
Monaco,858,"	46.862496",103.846656,28.6
Mongolia,1491,42.708678,19.37439,49.7
Montenegro,1329,"	21.913965","	95.956223",44.3
Myanmar,1030,28.394857,84.124008,34.33333333
Nepal,1918,"	52.132633","	5.291266",63.93333333
Netherlands,1548,"	-20.904305	",165.618042,51.6
New Caledonia,742,"	-40.900557",174.885971,24.73333333
New Zealand,951,"	9.081999","	8.675277",31.7
Nigeria,3360,"	60.472024","	8.468946",112
Norway,900,"	30.375321","	69.345116",30
Pakistan,2912,"	31.952162	","	35.233154",97.06666667
Palestinian Territory,1715,"	-9.189967","	-75.015152",57.16666667
Peru,3219,"	12.879721",121.774017,107.3
Philippines,2656,51.919438,"19.145136	",88.53333333
Poland,1756,39.399872,"	-8.224454",58.53333333
Portugal,940,"	18.220833","	-66.590149",31.33333333
Puerto Rico,330,"	25.354826",51.183884,11
Qatar,5856,"	-21.115141	",55.536384,195.2
Reunion,735,45.943161,24.96676,24.5
Romania,2300,61.52401,105.318756,76.66666667
Russia,4098,43.94236,12.457777,136.6
San Marino,1499,"	23.885942","	45.079162",49.96666667
Senegal,1056,14.497401,-14.452362,35.2
Serbia,2175,44.016521,21.005859,72.5
Singapore,1361,1.352083,103.819836,45.36666667
Slovakia,1709,"	48.669026","	19.699024",56.96666667
Slovenia,1149,"	46.151241",14.995463,38.3
South Africa,2656,-30.559482,22.937506,88.53333333
South Korea,2410,35.907757,127.766922,80.33333333
Spain,2391,40.463667,"	-3.74922",79.7
Sri Lanka,1244,7.873054,"	80.771797",41.46666667
Sudan,2596,12.862807,"	30.217636",86.53333333
Sweden,847,60.128161,18.643501,28.23333333
Switzerland,1399,46.818188,8.227512,46.63333333
Taiwan,1911,23.69781,"	120.960515",63.7
Tajikistan,2465,"38.861034	",71.276093,82.16666667
Thailand,3117,15.870032,100.992541,103.9
Togo,2371,8.619543,0.824782,79.03333333
Trinidad and Tobago,1152,"10.691803	",-61.222503,38.4
Turkey,2979,"	38.963745","	35.243322",99.3
Turkmenistan,1594,"	38.969719	",59.556278,53.13333333
Uganda,4180,1.373333,32.290275,139.3333333
Ukraine,2128,48.379433,31.16558,70.93333333
United Arab Emirates,5427,"23.424076	",53.847818,180.9
United Kingdom of Great Britain and Northern Ireland,1747,"	55.378051	",-3.435973,58.23333333
United States of America,2765,37.09024,-95.712891,92.16666667
Uzbekistan,2118,41.377491,64.585262,70.6
Vatican,1385,41.902916,"	12.453389",46.16666667
Venezuela,351,6.42375,-66.58973,11.7
Vietnam,2510,"	14.058324	",108.277199,83.66666667
Zambia,4880,"-13.133897	",27.849332,162.6666667
